Rocket,Launch,Mach Number,Pitch (deg),Roll (deg),drag vector (N),Total Drag (N),C_D vector,Total C_D,Moment x_locations,Moments (Nm),C_M vectors
Hyperion,v1,0.8,4,0,"[-237.658, -7.829, -494.947]",549.104,"[-0.373, -0.012, -0.777]",0.862,"[-3.5, -3.4, -3.3, -3.2, -3.1, -3.0, -2.9, -2.8, -2.7, -2.6, -2.5, -2.4, -2.3, -2.2, -2.1, -2.0, -1.9, -1.8, -1.7, -1.6, -1.5, -1.4, -1.3, -1.2, -1.1, -1.0, -0.9, -0.8, -0.7, -0.6]","[[0.793, 395.455, -17.881], [0.793, 345.96, -17.098], [0.793, 296.465, -16.316], [0.793, 246.97, -15.533], [0.793, 197.476, -14.75], [0.793, 147.981, -13.967], [0.793, 98.486, -13.184], [0.793, 48.992, -12.401], [0.793, -0.503, -11.618], [0.793, -49.998, -10.835], [0.793, -99.493, -10.052], [0.793, -148.987, -9.269], [0.793, -198.482, -8.486], [0.793, -247.977, -7.703], [0.793, -297.471, -6.92], [0.793, -346.966, -6.137], [0.793, -396.461, -5.354], [0.793, -445.956, -4.571], [0.793, -495.45, -3.789], [0.793, -544.945, -3.006], [0.793, -594.44, -2.223], [0.793, -643.934, -1.44], [0.793, -693.429, -0.657], [0.793, -742.924, 0.126], [0.793, -792.418, 0.909], [0.793, -841.913, 1.692], [0.793, -891.408, 2.475], [0.793, -940.903, 3.258], [0.793, -990.397, 4.041], [0.793, -1039.892, 4.824]]","[[0.01, 4.739, -0.214], [0.01, 4.146, -0.205], [0.01, 3.553, -0.196], [0.01, 2.96, -0.186], [0.01, 2.366, -0.177], [0.01, 1.773, -0.167], [0.01, 1.18, -0.158], [0.01, 0.587, -0.149], [0.01, -0.006, -0.139], [0.01, -0.599, -0.13], [0.01, -1.192, -0.12], [0.01, -1.785, -0.111], [0.01, -2.379, -0.102], [0.01, -2.972, -0.092], [0.01, -3.565, -0.083], [0.01, -4.158, -0.074], [0.01, -4.751, -0.064], [0.01, -5.344, -0.055], [0.01, -5.937, -0.045], [0.01, -6.53, -0.036], [0.01, -7.124, -0.027], [0.01, -7.717, -0.017], [0.01, -8.31, -0.008], [0.01, -8.903, 0.002], [0.01, -9.496, 0.011], [0.01, -10.089, 0.02], [0.01, -10.682, 0.03], [0.01, -11.276, 0.039], [0.01, -11.869, 0.048], [0.01, -12.462, 0.058]]"
Hyperion,v1,0.7,3,0,"[-185.092, -2.701, -261.532]",320.414,"[-0.38, -0.006, -0.536]",0.657,"[-3.5, -3.4, -3.3, -3.2, -3.1, -3.0, -2.9, -2.8, -2.7, -2.6, -2.5, -2.4, -2.3, -2.2, -2.1, -2.0, -1.9, -1.8, -1.7, -1.6, -1.5, -1.4, -1.3, -1.2, -1.1, -1.0, -0.9, -0.8, -0.7, -0.6]","[[0.481, 221.562, -8.119], [0.481, 195.409, -7.849], [0.481, 169.256, -7.579], [0.481, 143.103, -7.309], [0.481, 116.949, -7.039], [0.481, 90.796, -6.769], [0.481, 64.643, -6.499], [0.481, 38.49, -6.229], [0.481, 12.337, -5.959], [0.481, -13.816, -5.689], [0.481, -39.97, -5.419], [0.481, -66.123, -5.149], [0.481, -92.276, -4.878], [0.481, -118.429, -4.608], [0.481, -144.582, -4.338], [0.481, -170.735, -4.068], [0.481, -196.889, -3.798], [0.481, -223.042, -3.528], [0.481, -249.195, -3.258], [0.481, -275.348, -2.988], [0.481, -301.501, -2.718], [0.481, -327.654, -2.448], [0.481, -353.807, -2.178], [0.481, -379.961, -1.908], [0.481, -406.114, -1.638], [0.481, -432.267, -1.368], [0.481, -458.42, -1.098], [0.481, -484.573, -0.828], [0.481, -510.726, -0.558], [0.481, -536.88, -0.287]]","[[0.008, 3.468, -0.127], [0.008, 3.059, -0.123], [0.008, 2.649, -0.119], [0.008, 2.24, -0.114], [0.008, 1.831, -0.11], [0.008, 1.421, -0.106], [0.008, 1.012, -0.102], [0.008, 0.602, -0.097], [0.008, 0.193, -0.093], [0.008, -0.216, -0.089], [0.008, -0.626, -0.085], [0.008, -1.035, -0.081], [0.008, -1.444, -0.076], [0.008, -1.854, -0.072], [0.008, -2.263, -0.068], [0.008, -2.672, -0.064], [0.008, -3.082, -0.059], [0.008, -3.491, -0.055], [0.008, -3.9, -0.051], [0.008, -4.31, -0.047], [0.008, -4.719, -0.043], [0.008, -5.129, -0.038], [0.008, -5.538, -0.034], [0.008, -5.947, -0.03], [0.008, -6.357, -0.026], [0.008, -6.766, -0.021], [0.008, -7.175, -0.017], [0.008, -7.585, -0.013], [0.008, -7.994, -0.009], [0.008, -8.403, -0.004]]"
Hyperion,v1,0.05,2,0,"[-1.278, -0.104, -0.769]",1.495,"[-0.514, -0.042, -0.309]",0.601,"[-3.5, -3.4, -3.3, -3.2, -3.1, -3.0, -2.9, -2.8, -2.7, -2.6, -2.5, -2.4, -2.3, -2.2, -2.1, -2.0, -1.9, -1.8, -1.7, -1.6, -1.5, -1.4, -1.3, -1.2, -1.1, -1.0, -0.9, -0.8, -0.7, -0.6]","[[0.0, 0.786, -0.103], [0.0, 0.71, -0.093], [0.0, 0.633, -0.082], [0.0, 0.556, -0.072], [0.0, 0.479, -0.062], [0.0, 0.402, -0.051], [0.0, 0.325, -0.041], [0.0, 0.248, -0.031], [0.0, 0.172, -0.02], [0.0, 0.095, -0.01], [0.0, 0.018, 0.0], [0.0, -0.059, 0.011], [0.0, -0.136, 0.021], [0.0, -0.213, 0.032], [0.0, -0.29, 0.042], [0.0, -0.367, 0.052], [0.0, -0.443, 0.063], [0.0, -0.52, 0.073], [0.0, -0.597, 0.083], [0.0, -0.674, 0.094], [0.0, -0.751, 0.104], [0.0, -0.828, 0.114], [0.0, -0.905, 0.125], [0.0, -0.981, 0.135], [0.0, -1.058, 0.145], [0.0, -1.135, 0.156], [0.0, -1.212, 0.166], [0.0, -1.289, 0.177], [0.0, -1.366, 0.187], [0.0, -1.443, 0.197]]","[[0.0, 2.411, -0.316], [0.0, 2.178, -0.285], [0.0, 1.942, -0.252], [0.0, 1.706, -0.221], [0.0, 1.469, -0.19], [0.0, 1.233, -0.156], [0.0, 0.997, -0.126], [0.0, 0.761, -0.095], [0.0, 0.528, -0.061], [0.0, 0.291, -0.031], [0.0, 0.055, 0.0], [0.0, -0.181, 0.034], [0.0, -0.417, 0.064], [0.0, -0.653, 0.098], [0.0, -0.89, 0.129], [0.0, -1.126, 0.16], [0.0, -1.359, 0.193], [0.0, -1.595, 0.224], [0.0, -1.831, 0.255], [0.0, -2.068, 0.288], [0.0, -2.304, 0.319], [0.0, -2.54, 0.35], [0.0, -2.776, 0.383], [0.0, -3.01, 0.414], [0.0, -3.246, 0.445], [0.0, -3.482, 0.479], [0.0, -3.718, 0.509], [0.0, -3.954, 0.543], [0.0, -4.191, 0.574], [0.0, -4.427, 0.604]]"
Hyperion,v1,1.0,2,0,"[-623.338, 0.234, -467.147]",778.959,"[-0.626, 0.0, -0.469]",0.783,"[-3.5, -3.4, -3.3, -3.2, -3.1, -3.0, -2.9, -2.8, -2.7, -2.6, -2.5, -2.4, -2.3, -2.2, -2.1, -2.0, -1.9, -1.8, -1.7, -1.6, -1.5, -1.4, -1.3, -1.2, -1.1, -1.0, -0.9, -0.8, -0.7, -0.6]","[[-0.007, 302.926, -7.35], [-0.007, 256.212, -7.374], [-0.007, 209.497, -7.397], [-0.007, 162.782, -7.42], [-0.007, 116.068, -7.444], [-0.007, 69.353, -7.467], [-0.007, 22.638, -7.491], [-0.007, -24.076, -7.514], [-0.007, -70.791, -7.537], [-0.007, -117.505, -7.561], [-0.007, -164.22, -7.584], [-0.007, -210.935, -7.608], [-0.007, -257.649, -7.631], [-0.007, -304.364, -7.654], [-0.007, -351.079, -7.678], [-0.007, -397.793, -7.701], [-0.007, -444.508, -7.725], [-0.007, -491.223, -7.748], [-0.007, -537.937, -7.771], [-0.007, -584.652, -7.795], [-0.007, -631.367, -7.818], [-0.007, -678.081, -7.842], [-0.007, -724.796, -7.865], [-0.007, -771.511, -7.888], [-0.007, -818.225, -7.912], [-0.007, -864.94, -7.935], [-0.007, -911.655, -7.959], [-0.007, -958.369, -7.982], [-0.007, -1005.084, -8.005], [-0.007, -1051.798, -8.029]]","[[-0.0, 2.323, -0.056], [-0.0, 1.965, -0.057], [-0.0, 1.607, -0.057], [-0.0, 1.248, -0.057], [-0.0, 0.89, -0.057], [-0.0, 0.532, -0.057], [-0.0, 0.174, -0.057], [-0.0, -0.185, -0.058], [-0.0, -0.543, -0.058], [-0.0, -0.901, -0.058], [-0.0, -1.259, -0.058], [-0.0, -1.618, -0.058], [-0.0, -1.976, -0.059], [-0.0, -2.334, -0.059], [-0.0, -2.693, -0.059], [-0.0, -3.051, -0.059], [-0.0, -3.409, -0.059], [-0.0, -3.767, -0.059], [-0.0, -4.126, -0.06], [-0.0, -4.484, -0.06], [-0.0, -4.842, -0.06], [-0.0, -5.201, -0.06], [-0.0, -5.559, -0.06], [-0.0, -5.917, -0.06], [-0.0, -6.275, -0.061], [-0.0, -6.634, -0.061], [-0.0, -6.992, -0.061], [-0.0, -7.35, -0.061], [-0.0, -7.709, -0.061], [-0.0, -8.067, -0.062]]"
Hyperion,v1,1.7,2,0,"[-1399.488, -2.869, -1048.347]",1748.601,"[-0.487, -0.001, -0.364]",0.608,"[-3.5, -3.4, -3.3, -3.2, -3.1, -3.0, -2.9, -2.8, -2.7, -2.6, -2.5, -2.4, -2.3, -2.2, -2.1, -2.0, -1.9, -1.8, -1.7, -1.6, -1.5, -1.4, -1.3, -1.2, -1.1, -1.0, -0.9, -0.8, -0.7, -0.6]","[[0.545, 876.215, -8.45], [0.545, 771.38, -8.163], [0.545, 666.546, -7.877], [0.545, 561.711, -7.59], [0.545, 456.876, -7.303], [0.545, 352.042, -7.016], [0.545, 247.207, -6.729], [0.545, 142.372, -6.442], [0.545, 37.538, -6.155], [0.545, -67.297, -5.869], [0.545, -172.132, -5.582], [0.545, -276.966, -5.295], [0.545, -381.801, -5.008], [0.545, -486.636, -4.721], [0.545, -591.47, -4.434], [0.545, -696.305, -4.147], [0.545, -801.14, -3.861], [0.545, -905.974, -3.574], [0.545, -1010.809, -3.287], [0.545, -1115.644, -3.0], [0.545, -1220.478, -2.713], [0.545, -1325.313, -2.426], [0.545, -1430.148, -2.139], [0.545, -1534.982, -1.852], [0.545, -1639.817, -1.566], [0.545, -1744.652, -1.279], [0.545, -1849.486, -0.992], [0.545, -1954.321, -0.705], [0.545, -2059.156, -0.418], [0.545, -2163.99, -0.131]]","[[0.001, 2.325, -0.022], [0.001, 2.047, -0.022], [0.001, 1.769, -0.021], [0.001, 1.491, -0.02], [0.001, 1.212, -0.019], [0.001, 0.934, -0.019], [0.001, 0.656, -0.018], [0.001, 0.378, -0.017], [0.001, 0.1, -0.016], [0.001, -0.179, -0.016], [0.001, -0.457, -0.015], [0.001, -0.735, -0.014], [0.001, -1.013, -0.013], [0.001, -1.291, -0.013], [0.001, -1.57, -0.012], [0.001, -1.848, -0.011], [0.001, -2.126, -0.01], [0.001, -2.404, -0.009], [0.001, -2.683, -0.009], [0.001, -2.961, -0.008], [0.001, -3.239, -0.007], [0.001, -3.517, -0.006], [0.001, -3.795, -0.006], [0.001, -4.074, -0.005], [0.001, -4.352, -0.004], [0.001, -4.63, -0.003], [0.001, -4.908, -0.003], [0.001, -5.186, -0.002], [0.001, -5.465, -0.001], [0.001, -5.743, -0.0]]"
Hyperion,v1,1.1,3,0,"[-742.396, -5.294, -823.561]",1108.798,"[-0.616, -0.004, -0.684]",0.921,"[-3.5, -3.4, -3.3, -3.2, -3.1, -3.0, -2.9, -2.8, -2.7, -2.6, -2.5, -2.4, -2.3, -2.2, -2.1, -2.0, -1.9, -1.8, -1.7, -1.6, -1.5, -1.4, -1.3, -1.2, -1.1, -1.0, -0.9, -0.8, -0.7, -0.6]","[[0.247, 556.675, -15.895], [0.247, 474.319, -15.366], [0.247, 391.963, -14.837], [0.247, 309.607, -14.307], [0.247, 227.251, -13.778], [0.247, 144.895, -13.248], [0.247, 62.539, -12.719], [0.247, -19.818, -12.19], [0.247, -102.174, -11.66], [0.247, -184.53, -11.131], [0.247, -266.886, -10.601], [0.247, -349.242, -10.072], [0.247, -431.598, -9.543], [0.247, -513.954, -9.013], [0.247, -596.31, -8.484], [0.247, -678.666, -7.954], [0.247, -761.023, -7.425], [0.247, -843.379, -6.896], [0.247, -925.735, -6.366], [0.247, -1008.091, -5.837], [0.247, -1090.447, -5.307], [0.247, -1172.803, -4.778], [0.247, -1255.159, -4.248], [0.247, -1337.515, -3.719], [0.247, -1419.872, -3.19], [0.247, -1502.228, -2.66], [0.247, -1584.584, -2.131], [0.247, -1666.94, -1.601], [0.247, -1749.296, -1.072], [0.247, -1831.652, -0.543]]","[[0.002, 3.528, -0.101], [0.002, 3.006, -0.097], [0.002, 2.484, -0.094], [0.002, 1.962, -0.091], [0.002, 1.44, -0.087], [0.002, 0.918, -0.084], [0.002, 0.396, -0.081], [0.002, -0.126, -0.077], [0.002, -0.648, -0.074], [0.002, -1.17, -0.071], [0.002, -1.692, -0.067], [0.002, -2.214, -0.064], [0.002, -2.736, -0.06], [0.002, -3.258, -0.057], [0.002, -3.78, -0.054], [0.002, -4.302, -0.05], [0.002, -4.824, -0.047], [0.002, -5.346, -0.044], [0.002, -5.868, -0.04], [0.002, -6.39, -0.037], [0.002, -6.912, -0.034], [0.002, -7.434, -0.03], [0.002, -7.956, -0.027], [0.002, -8.478, -0.024], [0.002, -9.0, -0.02], [0.002, -9.522, -0.017], [0.002, -10.044, -0.014], [0.002, -10.566, -0.01], [0.002, -11.088, -0.007], [0.002, -11.61, -0.003]]"
Hyperion,v1,0.9,5,0,"[-310.76, -20.947, -890.402]",943.306,"[-0.385, -0.026, -1.104]",1.17,"[-3.5, -3.4, -3.3, -3.2, -3.1, -3.0, -2.9, -2.8, -2.7, -2.6, -2.5, -2.4, -2.3, -2.2, -2.1, -2.0, -1.9, -1.8, -1.7, -1.6, -1.5, -1.4, -1.3, -1.2, -1.1, -1.0, -0.9, -0.8, -0.7, -0.6]","[[0.913, 644.424, -35.068], [0.913, 555.383, -32.974], [0.913, 466.343, -30.879], [0.913, 377.303, -28.784], [0.913, 288.263, -26.689], [0.913, 199.223, -24.595], [0.913, 110.182, -22.5], [0.913, 21.142, -20.405], [0.913, -67.898, -18.311], [0.913, -156.938, -16.216], [0.913, -245.979, -14.121], [0.913, -335.019, -12.027], [0.913, -424.059, -9.932], [0.913, -513.099, -7.837], [0.913, -602.14, -5.743], [0.913, -691.18, -3.648], [0.913, -780.22, -1.553], [0.913, -869.26, 0.542], [0.913, -958.3, 2.636], [0.913, -1047.341, 4.731], [0.913, -1136.381, 6.826], [0.913, -1225.421, 8.92], [0.913, -1314.461, 11.015], [0.913, -1403.502, 13.11], [0.913, -1492.542, 15.204], [0.913, -1581.582, 17.299], [0.913, -1670.622, 19.394], [0.913, -1759.662, 21.488], [0.913, -1848.703, 23.583], [0.913, -1937.743, 25.678]]","[[0.009, 6.102, -0.332], [0.009, 5.259, -0.312], [0.009, 4.416, -0.292], [0.009, 3.573, -0.273], [0.009, 2.729, -0.253], [0.009, 1.886, -0.233], [0.009, 1.043, -0.213], [0.009, 0.2, -0.193], [0.009, -0.643, -0.173], [0.009, -1.486, -0.154], [0.009, -2.329, -0.134], [0.009, -3.172, -0.114], [0.009, -4.015, -0.094], [0.009, -4.858, -0.074], [0.009, -5.701, -0.054], [0.009, -6.545, -0.035], [0.009, -7.388, -0.015], [0.009, -8.231, 0.005], [0.009, -9.074, 0.025], [0.009, -9.917, 0.045], [0.009, -10.76, 0.065], [0.009, -11.603, 0.084], [0.009, -12.446, 0.104], [0.009, -13.289, 0.124], [0.009, -14.132, 0.144], [0.009, -14.975, 0.164], [0.009, -15.818, 0.184], [0.009, -16.662, 0.203], [0.009, -17.505, 0.223], [0.009, -18.348, 0.243]]"
Hyperion,v1,0.1,2,0,"[-4.601, -0.668, -3.129]",5.604,"[-0.462, -0.067, -0.314]",0.563,"[-3.5, -3.4, -3.3, -3.2, -3.1, -3.0, -2.9, -2.8, -2.7, -2.6, -2.5, -2.4, -2.3, -2.2, -2.1, -2.0, -1.9, -1.8, -1.7, -1.6, -1.5, -1.4, -1.3, -1.2, -1.1, -1.0, -0.9, -0.8, -0.7, -0.6]","[[0.002, 3.208, -0.685], [0.002, 2.895, -0.618], [0.002, 2.582, -0.551], [0.002, 2.269, -0.484], [0.002, 1.956, -0.417], [0.002, 1.644, -0.35], [0.002, 1.331, -0.284], [0.002, 1.018, -0.217], [0.002, 0.705, -0.15], [0.002, 0.392, -0.083], [0.002, 0.079, -0.016], [0.002, -0.234, 0.051], [0.002, -0.547, 0.118], [0.002, -0.859, 0.184], [0.002, -1.172, 0.251], [0.002, -1.485, 0.318], [0.002, -1.798, 0.385], [0.002, -2.111, 0.452], [0.002, -2.424, 0.519], [0.002, -2.737, 0.585], [0.002, -3.049, 0.652], [0.002, -3.362, 0.719], [0.002, -3.675, 0.786], [0.002, -3.988, 0.853], [0.002, -4.301, 0.92], [0.002, -4.614, 0.987], [0.002, -4.927, 1.053], [0.002, -5.24, 1.12], [0.002, -5.552, 1.187], [0.002, -5.865, 1.254]]","[[0.002, 2.46, -0.525], [0.002, 2.22, -0.474], [0.002, 1.98, -0.423], [0.002, 1.74, -0.371], [0.002, 1.5, -0.32], [0.002, 1.261, -0.268], [0.002, 1.021, -0.218], [0.002, 0.781, -0.166], [0.002, 0.541, -0.115], [0.002, 0.301, -0.064], [0.002, 0.061, -0.012], [0.002, -0.179, 0.039], [0.002, -0.42, 0.091], [0.002, -0.659, 0.141], [0.002, -0.899, 0.193], [0.002, -1.139, 0.244], [0.002, -1.379, 0.295], [0.002, -1.619, 0.347], [0.002, -1.859, 0.398], [0.002, -2.099, 0.449], [0.002, -2.338, 0.5], [0.002, -2.579, 0.551], [0.002, -2.819, 0.603], [0.002, -3.059, 0.654], [0.002, -3.299, 0.706], [0.002, -3.539, 0.757], [0.002, -3.779, 0.808], [0.002, -4.019, 0.859], [0.002, -4.258, 0.91], [0.002, -4.498, 0.962]]"
Hyperion,v1,0.6,2,0,"[-137.863, -0.837, -119.821]",182.658,"[-0.385, -0.002, -0.334]",0.51,"[-3.5, -3.4, -3.3, -3.2, -3.1, -3.0, -2.9, -2.8, -2.7, -2.6, -2.5, -2.4, -2.3, -2.2, -2.1, -2.0, -1.9, -1.8, -1.7, -1.6, -1.5, -1.4, -1.3, -1.2, -1.1, -1.0, -0.9, -0.8, -0.7, -0.6]","[[0.24, 106.139, -3.165], [0.24, 94.157, -3.081], [0.24, 82.175, -2.997], [0.24, 70.193, -2.914], [0.24, 58.211, -2.83], [0.24, 46.229, -2.746], [0.24, 34.247, -2.663], [0.24, 22.264, -2.579], [0.24, 10.282, -2.495], [0.24, -1.7, -2.412], [0.24, -13.682, -2.328], [0.24, -25.664, -2.244], [0.24, -37.646, -2.161], [0.24, -49.628, -2.077], [0.24, -61.61, -1.993], [0.24, -73.592, -1.91], [0.24, -85.574, -1.826], [0.24, -97.556, -1.742], [0.24, -109.538, -1.659], [0.24, -121.52, -1.575], [0.24, -133.502, -1.491], [0.24, -145.484, -1.408], [0.24, -157.467, -1.324], [0.24, -169.449, -1.24], [0.24, -181.431, -1.157], [0.24, -193.413, -1.073], [0.24, -205.395, -0.989], [0.24, -217.377, -0.906], [0.24, -229.359, -0.822], [0.24, -241.341, -0.738]]","[[0.005, 2.261, -0.067], [0.005, 2.006, -0.066], [0.005, 1.751, -0.064], [0.005, 1.495, -0.062], [0.005, 1.24, -0.06], [0.005, 0.985, -0.059], [0.005, 0.73, -0.057], [0.005, 0.474, -0.055], [0.005, 0.219, -0.053], [0.005, -0.036, -0.051], [0.005, -0.291, -0.05], [0.005, -0.547, -0.048], [0.005, -0.802, -0.046], [0.005, -1.057, -0.044], [0.005, -1.313, -0.042], [0.005, -1.568, -0.041], [0.005, -1.823, -0.039], [0.005, -2.078, -0.037], [0.005, -2.334, -0.035], [0.005, -2.589, -0.034], [0.005, -2.844, -0.032], [0.005, -3.099, -0.03], [0.005, -3.355, -0.028], [0.005, -3.61, -0.026], [0.005, -3.865, -0.025], [0.005, -4.121, -0.023], [0.005, -4.376, -0.021], [0.005, -4.631, -0.019], [0.005, -4.886, -0.018], [0.005, -5.142, -0.016]]"
Hyperion,v1,0.15,3,0,"[-10.17, -2.603, -10.13]",14.589,"[-0.454, -0.116, -0.452]",0.651,"[-3.5, -3.4, -3.3, -3.2, -3.1, -3.0, -2.9, -2.8, -2.7, -2.6, -2.5, -2.4, -2.3, -2.2, -2.1, -2.0, -1.9, -1.8, -1.7, -1.6, -1.5, -1.4, -1.3, -1.2, -1.1, -1.0, -0.9, -0.8, -0.7, -0.6]","[[0.003, 9.592, -2.466], [0.003, 8.579, -2.206], [0.003, 7.566, -1.946], [0.003, 6.553, -1.685], [0.003, 5.54, -1.425], [0.003, 4.527, -1.165], [0.003, 3.514, -0.904], [0.003, 2.501, -0.644], [0.003, 1.488, -0.384], [0.003, 0.475, -0.123], [0.003, -0.538, 0.137], [0.003, -1.551, 0.397], [0.003, -2.565, 0.658], [0.003, -3.578, 0.918], [0.003, -4.591, 1.178], [0.003, -5.604, 1.439], [0.003, -6.617, 1.699], [0.003, -7.63, 1.959], [0.003, -8.643, 2.22], [0.003, -9.656, 2.48], [0.003, -10.669, 2.74], [0.003, -11.682, 3.001], [0.003, -12.695, 3.261], [0.003, -13.708, 3.521], [0.003, -14.721, 3.782], [0.003, -15.734, 4.042], [0.003, -16.747, 4.302], [0.003, -17.76, 4.563], [0.003, -18.773, 4.823], [0.003, -19.786, 5.083]]","[[0.001, 3.27, -0.841], [0.001, 2.924, -0.752], [0.001, 2.579, -0.663], [0.001, 2.234, -0.574], [0.001, 1.888, -0.486], [0.001, 1.543, -0.397], [0.001, 1.198, -0.308], [0.001, 0.853, -0.22], [0.001, 0.507, -0.131], [0.001, 0.162, -0.042], [0.001, -0.183, 0.047], [0.001, -0.529, 0.135], [0.001, -0.874, 0.224], [0.001, -1.22, 0.313], [0.001, -1.565, 0.402], [0.001, -1.91, 0.491], [0.001, -2.256, 0.579], [0.001, -2.601, 0.668], [0.001, -2.946, 0.757], [0.001, -3.291, 0.845], [0.001, -3.637, 0.934], [0.001, -3.982, 1.023], [0.001, -4.327, 1.112], [0.001, -4.673, 1.2], [0.001, -5.018, 1.289], [0.001, -5.363, 1.378], [0.001, -5.709, 1.466], [0.001, -6.054, 1.555], [0.001, -6.399, 1.644], [0.001, -6.744, 1.733]]"
Hyperion,v1,1.6,2,0,"[-1285.117, -3.62, -958.929]",1603.46,"[-0.504, -0.001, -0.376]",0.629,"[-3.5, -3.4, -3.3, -3.2, -3.1, -3.0, -2.9, -2.8, -2.7, -2.6, -2.5, -2.4, -2.3, -2.2, -2.1, -2.0, -1.9, -1.8, -1.7, -1.6, -1.5, -1.4, -1.3, -1.2, -1.1, -1.0, -0.9, -0.8, -0.7, -0.6]","[[0.522, 772.12, -9.948], [0.522, 676.227, -9.586], [0.522, 580.334, -9.224], [0.522, 484.441, -8.862], [0.522, 388.548, -8.5], [0.522, 292.655, -8.138], [0.522, 196.762, -7.776], [0.522, 100.869, -7.414], [0.522, 4.976, -7.052], [0.522, -90.917, -6.69], [0.522, -186.81, -6.328], [0.522, -282.703, -5.966], [0.522, -378.596, -5.604], [0.522, -474.489, -5.242], [0.522, -570.381, -4.88], [0.522, -666.274, -4.518], [0.522, -762.167, -4.156], [0.522, -858.06, -3.794], [0.522, -953.953, -3.432], [0.522, -1049.846, -3.07], [0.522, -1145.739, -2.708], [0.522, -1241.632, -2.346], [0.522, -1337.525, -1.984], [0.522, -1433.418, -1.622], [0.522, -1529.311, -1.26], [0.522, -1625.204, -0.898], [0.522, -1721.097, -0.536], [0.522, -1816.99, -0.174], [0.522, -1912.883, 0.188], [0.522, -2008.776, 0.55]]","[[0.002, 2.313, -0.03], [0.002, 2.026, -0.029], [0.002, 1.739, -0.028], [0.002, 1.451, -0.027], [0.002, 1.164, -0.025], [0.002, 0.877, -0.024], [0.002, 0.589, -0.023], [0.002, 0.302, -0.022], [0.002, 0.015, -0.021], [0.002, -0.272, -0.02], [0.002, -0.56, -0.019], [0.002, -0.847, -0.018], [0.002, -1.134, -0.017], [0.002, -1.422, -0.016], [0.002, -1.709, -0.015], [0.002, -1.996, -0.014], [0.002, -2.283, -0.012], [0.002, -2.571, -0.011], [0.002, -2.858, -0.01], [0.002, -3.145, -0.009], [0.002, -3.433, -0.008], [0.002, -3.72, -0.007], [0.002, -4.007, -0.006], [0.002, -4.294, -0.005], [0.002, -4.582, -0.004], [0.002, -4.869, -0.003], [0.002, -5.156, -0.002], [0.002, -5.444, -0.001], [0.002, -5.731, 0.001], [0.002, -6.018, 0.002]]"
Hyperion,v1,1.1,2,0,"[-738.599, -1.991, -548.269]",919.854,"[-0.613, -0.002, -0.455]",0.764,"[-3.5, -3.4, -3.3, -3.2, -3.1, -3.0, -2.9, -2.8, -2.7, -2.6, -2.5, -2.4, -2.3, -2.2, -2.1, -2.0, -1.9, -1.8, -1.7, -1.6, -1.5, -1.4, -1.3, -1.2, -1.1, -1.0, -0.9, -0.8, -0.7, -0.6]","[[-0.062, 364.791, -9.03], [-0.062, 309.964, -8.831], [-0.062, 255.137, -8.632], [-0.062, 200.31, -8.433], [-0.062, 145.484, -8.234], [-0.062, 90.657, -8.035], [-0.062, 35.83, -7.836], [-0.062, -18.997, -7.637], [-0.062, -73.824, -7.437], [-0.062, -128.651, -7.238], [-0.062, -183.478, -7.039], [-0.062, -238.305, -6.84], [-0.062, -293.132, -6.641], [-0.062, -347.959, -6.442], [-0.062, -402.785, -6.243], [-0.062, -457.612, -6.044], [-0.062, -512.439, -5.845], [-0.062, -567.266, -5.646], [-0.062, -622.093, -5.447], [-0.062, -676.92, -5.247], [-0.062, -731.747, -5.048], [-0.062, -786.574, -4.849], [-0.062, -841.401, -4.65], [-0.062, -896.228, -4.451], [-0.062, -951.054, -4.252], [-0.062, -1005.881, -4.053], [-0.062, -1060.708, -3.854], [-0.062, -1115.535, -3.655], [-0.062, -1170.362, -3.456], [-0.062, -1225.189, -3.257]]","[[-0.0, 2.312, -0.057], [-0.0, 1.965, -0.056], [-0.0, 1.617, -0.055], [-0.0, 1.27, -0.053], [-0.0, 0.922, -0.052], [-0.0, 0.575, -0.051], [-0.0, 0.227, -0.05], [-0.0, -0.12, -0.048], [-0.0, -0.468, -0.047], [-0.0, -0.815, -0.046], [-0.0, -1.163, -0.045], [-0.0, -1.51, -0.043], [-0.0, -1.858, -0.042], [-0.0, -2.206, -0.041], [-0.0, -2.553, -0.04], [-0.0, -2.901, -0.038], [-0.0, -3.248, -0.037], [-0.0, -3.596, -0.036], [-0.0, -3.943, -0.035], [-0.0, -4.291, -0.033], [-0.0, -4.638, -0.032], [-0.0, -4.986, -0.031], [-0.0, -5.333, -0.029], [-0.0, -5.681, -0.028], [-0.0, -6.028, -0.027], [-0.0, -6.376, -0.026], [-0.0, -6.723, -0.024], [-0.0, -7.071, -0.023], [-0.0, -7.418, -0.022], [-0.0, -7.766, -0.021]]"
